cindustry,cname,cid
Entertainment,Fox Cable Networks,2071
Gambling & Casinos,Endorphina,5324249
Food & Beverages,ARAMARK Refreshment Services,2813
Museums & Institutions,American Mural Project,5322881
Banking,National Bank of Kuwait,10253
Insurance,Blue Cross and Blue Shield of Minnesota,206706
Financial Services,M&T Bank,164798
Real Estate,AEW Capital Management,16141
Investment Banking/Venture,P&D Quant Recruitment,232654
Investment Management,Aberdeen Asset Management,14542
Building Materials,Ahlsell AB,34466
Architecture & Planning,Lawrence Group,45338
Aviation & Aerospace,Driessen-Zodiac Aerospace,58539
Automotive,BMW Manufacturing,27825
Chemicals,Hutchinson,7168
Machinery,Lantech,26008
Mining & Metals,Nyrstar,230920
Oil & Energy,Bantrel,14466
Shipbuilding,Medsea Shipping Agency,5178322
Utilities,TXU Energy,4148
Textiles,Conto Bene Jeans,5334606
Paper & Forest Products,Papier & Karton Symposium,5285758
Railroad Manufacture,Whitmore Rail,3761921
Farming,"TerraSphere Systems, LLC",5317945
Primary/Secondary,ConMasFuturo.com,5343527
Higher Education,Wright State University,9917
Education Management,New Leaders for New Schools,20380
Research,TMC,166459
Military,Dept of Defence,1788220
Government Administration,Roads and Transport Authority,324789
Executive Office,Neue europäische Bewegung Schweiz/Nouveau mouvement européen Suisse,5308375
Law Enforcement,National Crime Agency (NCA),5198468
Marketing & Advertising,Fallon,6474
Newspapers,Nikkei,15937
Publishing,Grupo Planeta,15243
Information Services,LACO,164665
Environmental Services,DHI,15319
Package/Freight Delivery,Fulfilment & Shipping,5197520
Civic & Social Organization,Montgomery Area Chamber of Commerce,2699858
Consumer Services,Entrinsico,3521263
Transportation/Trucking/Railroad,Brisa,11239
Warehousing,Productos Cebriá,5205693
Airlines/Aviation,NAV CANADA,11427
Maritime,InfoSHIP EGO - Energy GOvernance,5342583
Information Technology & Services,Tech Data,2699
Market Research,InSites Consulting,27528
Public Relations,PAN Communications,165391
Nonprofit Organization Management,AFS Intercultural Programs,20625
Fundraising,MKBC Fund Development,5314541
Program Development,identiq GmbH,5339839
Staffing & Recruiting,Nelson Companies,7815
Professional Training,InfoMentis,25671
